Mode,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Passenger Cars,3934.8,4003.0,4087.2,4191.0,4306.8,4355.4,4454.2,4542.3,4585.6,4651.6,4591.3,4636.4,4690.0,4698.4,4773.8,4725.9,4702.1,4620.8,4678.4,4766.5
Powered 2-wheelers,116.4,118.0,122.0,126.1,129.9,107.7,112.1,113.7,116.8,120.7,123.4,123.0,119.0,124.5,122.3,122.5,125.3,125.7,125.1,127.3
Buses & Coaches,502.7,507.2,509.0,516.1,518.3,548.6,549.0,539.5,543.4,544.8,542.5,538.2,550.9,556.7,534.7,528.6,530.7,524.8,528.0,525.5
Railways,350.3,348.8,349.8,350.7,358.5,371.5,373.6,366.1,362.4,368.8,377.4,389.3,396.4,410.7,403.7,405.3,414.7,420.3,424.7,428.2
Tram & Metro,73.7,74.9,75.7,76.9,78.5,80.9,81.6,82.5,82.9,86.1,86.8,88.6,90.7,94.3,94.2,96.8,98.0,99.5,100.0,101.6
Air,347.9,368.0,392.1,411.2,427.3,459.5,455.5,447.4,465.5,495.7,529.9,552.0,575.1,560.0,522.1,538.5,578.7,572.4,579.4,605.3
Sea,44.4,44.0,43.6,43.1,42.6,41.7,42.0,43.3,43.1,42.6,41.7,42.3,43.4,43.5,42.5,40.5,39.1,42.0,39.0,37.5
