GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,HD01,HD02,SUBHD0301,SUBHD0302,SUBHD0303,SUBHD0401,SUBHD0402
0100000US,,United States,310M100US43900,43900,"United States - In metropolitan statistical area - Spartanburg, SC Metro Area","Spartanburg, SC Metro Area",284307,122628,819.24,11.32,807.93,351.9,151.8
0100000US,,United States,310M100US44060,44060,"United States - In metropolitan statistical area - Spokane, WA Metro Area","Spokane, WA Metro Area",471221,201434,1780.70,16.91,1763.79,267.2,114.2
0100000US,,United States,310M100US44100,44100,"United States - In metropolitan statistical area - Springfield, IL Metro Area","Springfield, IL Metro Area",210170,95555,1192.48,9.74,1182.74,177.7,80.8
0100000US,,United States,310M100US44140,44140,"United States - In metropolitan statistical area - Springfield, MA Metro Area","Springfield, MA Metro Area",692942,288536,1904.04,60.32,1843.72,375.8,156.5
0100000US,,United States,310M100US44180,44180,"United States - In metropolitan statistical area - Springfield, MO Metro Area","Springfield, MO Metro Area",436712,192346,3020.71,13.91,3006.80,145.2,64.0
0100000US,,United States,310M100US44220,44220,"United States - In metropolitan statistical area - Springfield, OH Metro Area","Springfield, OH Metro Area",138333,61419,402.53,5.05,397.47,348.0,154.5
0100000US,,United States,310M100US44300,44300,"United States - In metropolitan statistical area - State College, PA Metro Area","State College, PA Metro Area",153990,63297,1112.96,3.04,1109.92,138.7,57.0
0100000US,,United States,310M100US44600,44600,"United States - In metropolitan statistical area - Steubenville-Weirton, OH-WV Metro Area","Steubenville-Weirton, OH-WV Metro Area",124454,58334,591.49,11.35,580.14,214.5,100.6
0100000US,,United States,310M100US44700,44700,"United States - In metropolitan statistical area - Stockton, CA Metro Area","Stockton, CA Metro Area",685306,233755,1426.50,35.18,1391.32,492.6,168.0
0100000US,,United States,310M100US44940,44940,"United States - In metropolitan statistical area - Sumter, SC Metro Area","Sumter, SC Metro Area",107456,46011,682.08,17.02,665.07,161.6,69.2
0100000US,,United States,310M100US45060,45060,"United States - In metropolitan statistical area - Syracuse, NY Metro Area","Syracuse, NY Metro Area",662577,287712,2778.98,394.10,2384.88,277.8,120.6
0100000US,,United States,310M100US45220,45220,"United States - In metropolitan statistical area - Tallahassee, FL Metro Area","Tallahassee, FL Metro Area",367413,163078,2602.58,214.88,2387.70,153.9,68.3
0100000US,,United States,310M100US45300,45300,"United States - In metropolitan statistical area - Tampa-St. Petersburg-Clearwater, FL Metro Area","Tampa-St. Petersburg-Clearwater, FL Metro Area",2783243,1353158,3331.37,817.93,2513.44,1107.3,538.4
0100000US,,United States,310M100US45460,45460,"United States - In metropolitan statistical area - Terre Haute, IN Metro Area","Terre Haute, IN Metro Area",172425,74136,1484.82,19.94,1464.87,117.7,50.6
0100000US,,United States,310M100US45500,45500,"United States - In metropolitan statistical area - Texarkana, TX-Texarkana, AR Metro Area","Texarkana, TX-Texarkana, AR Metro Area",136027,57774,1560.62,50.03,1510.58,90.0,38.2
0100000US,,United States,310M100US45780,45780,"United States - In metropolitan statistical area - Toledo, OH Metro Area","Toledo, OH Metro Area",651429,301322,2208.66,590.24,1618.42,402.5,186.2
0100000US,,United States,310M100US45820,45820,"United States - In metropolitan statistical area - Topeka, KS Metro Area","Topeka, KS Metro Area",233870,103809,3289.89,57.26,3232.63,72.3,32.1
0100000US,,United States,310M100US45940,45940,"United States - In metropolitan statistical area - Trenton-Ewing, NJ Metro Area","Trenton-Ewing, NJ Metro Area",366513,143169,228.89,4.33,224.56,1632.2,637.6
0100000US,,United States,310M100US46060,46060,"United States - In metropolitan statistical area - Tucson, AZ Metro Area","Tucson, AZ Metro Area",980263,440909,9189.10,2.06,9187.04,106.7,48.0
0100000US,,United States,310M100US46140,46140,"United States - In metropolitan statistical area - Tulsa, OK Metro Area","Tulsa, OK Metro Area",937478,409820,6460.09,190.85,6269.24,149.5,65.4
0100000US,,United States,310M100US46220,46220,"United States - In metropolitan statistical area - Tuscaloosa, AL Metro Area","Tuscaloosa, AL Metro Area",219461,97534,2667.69,54.89,2612.81,84.0,37.3
0100000US,,United States,310M100US46340,46340,"United States - In metropolitan statistical area - Tyler, TX Metro Area","Tyler, TX Metro Area",209714,87309,949.72,28.27,921.45,227.6,94.8
